Raw_ID,ID,CPP_ID,PPP_ID,MS_ID,USZ_ID,Tissue,Batch,Date,Year,Month,Day
GUOT_PC5_170802_PCPOOL34,PPPB210,PCPOOL34,PC15AQUA,PC5,NA,A,31,170802,17,8,2
GUOT_PC2_170220_CPP307_SW,PPPB211,CPP307,PPP299,PC2,G_2010.0155,N,12,170220,17,2,20
GUOT_PC1_170202_CPP346_SW,PPPB212,CPP346,PPP332,PC1,G_2010.0399,T,13,170202,17,2,2
GUOT_170731_PC1_CPP613_SW,PPPB213,CPP613,PPP445,PC1,G_2011.0463,N,26,170731,17,7,31
GUOT_PC2_170203_CPP358_SW,PPPB214,CPP358,CTRL5B,PC2,NA,C,14,170203,17,2,3
GUOT_PC4_170301_CPP497_SW,PPPB215,CPP497,PPP427,PC4,G_2011.0369,N,19,170301,17,3,1
GUOT_PC1_170202_CPP349_SW,PPPB216,CPP349,PPP335,PC1,G_2010.0427,N,13,170202,17,2,2
GUOT_PC4_170130_CPP328_SW,PPPB217,CPP328,PPP317,PC4,G_2010.0275,N,12,170130,17,1,30
GUOT_PC1_170127_PCPOOL5_SW,PPPB218,PCPOOL5,PC15AQUA,PC1,NA,A,5,170127,17,1,27
GUOT_PC3_170206_CPP400_SW,PPPB219,CPP400,PPP379,PC3,G_2010.0868,N,15,170206,17,2,6
GUOT_PC1_170210_CPP146_SW,PPPB220,CPP146,PPP129,PC1,G_2008.0850,N,6,170210,17,2,10
GUOT_PC4_170130_CPP310_SW,PPPB221,CPP310,PPP301,PC4,G_2010.0163,N,12,170130,17,1,30
GUOT_PC3_170220_CPP342_SW,PPPB222,CPP342,PPP329,PC3,G_2010.0397,N,13,170220,17,2,20
GUOT_PC5_170727_CPP615_SW,PPPB223,CPP615,PPP447,PC5,G_2011.0473,N,26,170727,17,7,27
